"categoryid","categoryname","subcategoryid","subcategoryname","departmentid","departmentname","subdepartmentid","subdepartmentname","classid","classname","itmid","itmdesc","vdrid","vdrname"
2362,ROOT,2380,BEER & WINE,2383,CIDER,2917,MAINSTREAM CIDER,2940,MULTI PACK,1175678,STRONGBOW CIDER 8PK CAN,8891,LCBO WHOLESALE
2362,ROOT,2380,BEER & WINE,2383,CIDER,2917,MAINSTREAM CIDER,2940,MULTI PACK,1172842,SOMERSBY CIDER MIXER PACK 8X473ML,8891,LCBO WHOLESALE
2362,ROOT,2380,BEER & WINE,2383,CIDER,2917,MAINSTREAM CIDER,2940,MULTI PACK,139462,STRONGBOW CIDER 8PK CAN,9822,LCBO
2362,ROOT,2380,BEER & WINE,2383,CIDER,2917,MAINSTREAM CIDER,2941,SINGLES,243894,SOMERSBY MANGO & LIME CIDER CAN 473ML,8891,LCBO WHOLESALE
2362,ROOT,2380,BEER & WINE,2383,CIDER,2917,MAINSTREAM CIDER,2941,SINGLES,247915,BRICKWORKS CIDERHOUSE CIDER SPRITZ CAN 473ML,8889,LCBO WHOLESALE
2362,ROOT,2380,BEER & WINE,2383,CIDER,2917,MAINSTREAM CIDER,2941,SINGLES,143506,BRICKWORKS 1904 CIDER 473ML,8889,LCBO WHOLESALE
2362,ROOT,2380,BEER & WINE,2383,CIDER,2917,MAINSTREAM CIDER,2941,SINGLES,745612,SOMERSBY WATERMELON CIDER CAN 473ML,8891,LCBO WHOLESALE
2362,ROOT,2380,BEER & WINE,2383,CIDER,2917,MAINSTREAM CIDER,2941,SINGLES,132676,SOMERSBY WATERMELON CIDER 500ML,8891,LCBO WHOLESALE
2362,ROOT,2380,BEER & WINE,2383,CIDER,2917,MAINSTREAM CIDER,2941,SINGLES,111670,STRONGBOW CIDER 500ML,8891,LCBO WHOLESALE
